1.0, 0.0
1.012257, 2.471438
1.025969, 5.085608
1.039654, 7.454286
1.049467, 9.496901
1.063144, 11.78375
1.082536, 13.659563
1.100052, 15.945155
1.117516, 17.739766
1.136951, 20.02473
1.158288, 22.145405
1.185409, 24.509685
1.216343, 26.627219
1.24534, 28.581722
1.276248, 30.453765
1.311037, 32.733703
1.351576, 34.929926
1.39017, 36.881286
1.436424, 38.666472
1.486499, 40.286744
1.542392, 42.47794
1.584747, 43.691571
1.638669, 45.392415
1.682969, 46.85091
1.733001, 48.062029
1.78688, 49.353721
1.831154, 50.566725
1.881143, 51.368693
1.929246, 52.49861
1.98693, 53.461725
2.033106, 54.51044
2.075417, 55.314921
2.123461, 55.872026
2.177305, 56.836398
2.225375, 57.638993
2.277264, 58.276673
2.327263, 59.160471
2.381099, 60.043012
2.429159, 60.763777
2.477211, 61.402712
2.523361, 62.205937
2.575251, 62.843616
2.625232, 63.563753
2.673293, 64.284519
2.72521, 65.167689
2.77327, 65.888455
2.817475, 66.446817
2.871319, 67.411188
2.921291, 68.049496
2.967415, 68.607229
3.00779, 69.248678
2.976856, 67.131144
2.940208, 65.424646
2.897793, 63.638202
2.851496, 61.443864
2.807127, 59.330728
2.772415, 57.787262
2.739588, 55.915846
2.699075, 53.965115
2.658614, 52.505364
2.621983, 50.962526
2.575763, 49.504659
2.535302, 48.044909
2.500564, 46.255952
2.413893, 43.420166
2.369567, 41.716181
2.307923, 39.608699
2.248209, 37.582419
2.200019, 35.634199
2.161494, 34.337481
2.11914, 33.12385
2.080589, 31.58164
2.036272, 29.959485
1.9939, 28.582193
1.951502, 26.95941
1.912961, 25.499031
1.870554, 23.794417
1.822424, 22.41901
1.791586, 21.201609
1.749171, 19.415165
1.71444, 17.708038
1.670081, 15.676733
1.633433, 13.970235
1.59872, 12.426769
1.562064, 10.638441
1.521533, 8.524048
1.475202, 6.002389
1.436591, 3.887368
1.407627, 2.260187
1.384484, 1.203933
1.355599, 0.313224
